beta_level,alpha,n,mean_final_alignment,std_final_alignment,ci95_final_alignment
High heterogeneity,0.0,50,0.38051572254135707,0.19008703327275897,0.052689437455177894
High heterogeneity,0.3,50,0.30885721042222397,0.1501801300685445,0.04162780824141065
High heterogeneity,0.5,50,0.23776186620644416,0.11587689255692923,0.03211943591185322
High heterogeneity,0.7,50,0.15583292926609163,0.08277873171841872,0.022945093794157403
High heterogeneity,0.9,50,0.13902693443041378,0.12036402050369878,0.033363204322744484
High heterogeneity,1.0,50,0.16854728731473773,0.2514517015153341,0.06969885568669625
Low heterogeneity,0.0,50,0.3365397313373413,0.15673972492066632,0.04344603517010515
Low heterogeneity,0.3,50,0.300772290349831,0.14105706238870563,0.0390990228969286
Low heterogeneity,0.5,50,0.23755058156843803,0.10854685557839759,0.03008765332113701
Low heterogeneity,0.7,50,0.14484167950324264,0.07044560464328894,0.01952652538123801
Low heterogeneity,0.9,50,0.11307632376574553,0.06116004031059358,0.01695269826257522
Low heterogeneity,1.0,50,0.11017363001261961,0.0626283945533224,0.017359705293524517
Medium heterogeneity,0.0,50,0.25765706597469884,0.11761601012358859,0.032601494707122085
Medium heterogeneity,0.3,50,0.21241569869546656,0.0963172536926638,0.02669778062668826
Medium heterogeneity,0.5,50,0.1720172888078464,0.08017965380674397,0.02222466615261587
Medium heterogeneity,0.7,50,0.12380942551798102,0.0803610387530391,0.022274943494623802
Medium heterogeneity,0.9,50,0.09513809000160943,0.10314070069398941,0.028589143639804367
Medium heterogeneity,1.0,50,0.08755288011468049,0.0947966907229691,0.02627630207494809
