topology,replication,seed,alpha,final_alignment,mean_alignment
ER,0,1942340,0.0,0.6765823217746879,0.6906512994576323
ER,0,1942340,0.5,0.2154757213149502,0.29436873309948663
ER,0,1942340,1.0,0.18110370696003383,0.2316833680648961
ER,1,1942341,0.0,0.4493231450584089,0.6393988968134341
ER,1,1942341,0.5,0.17220505079110837,0.4018352655827444
ER,1,1942341,1.0,0.19187481505963297,0.40732157444685185
ER,2,1942342,0.0,0.22953560885863034,0.37902428906087393
ER,2,1942342,0.5,0.09878762169561513,0.28024014743031367
ER,2,1942342,1.0,0.04017508357715076,0.23505642326772241
WS,0,1942340,0.0,0.8118690954293631,0.8102501990948142
WS,0,1942340,0.5,0.22950187742369885,0.32210870622912047
WS,0,1942340,1.0,0.17697095041683245,0.26998140457771713
WS,1,1942341,0.0,0.2798558926763154,0.49587415874886087
WS,1,1942341,0.5,0.14439732489579374,0.3665619862944698
WS,1,1942341,1.0,0.15959152526733622,0.36603074158828564
WS,2,1942342,0.0,0.450394363862808,0.5250239251515016
WS,2,1942342,0.5,0.15067960411628617,0.2841241906446609
WS,2,1942342,1.0,0.08716641164127041,0.2207624952296605
BA,0,1942340,0.0,0.8098011171832548,0.8303340525852988
BA,0,1942340,0.5,0.2429327847302035,0.40136350559965467
BA,0,1942340,1.0,0.18312349174153883,0.32763876459750646
BA,1,1942341,0.0,0.31489597617242326,0.5389794040870489
BA,1,1942341,0.5,0.15288952519799176,0.3588590280449044
BA,1,1942341,1.0,0.16698984341801995,0.3675855805191689
BA,2,1942342,0.0,0.29293747109051255,0.375682465610968
BA,2,1942342,0.5,0.1088669884807454,0.22133898153236764
BA,2,1942342,1.0,0.05927973359501113,0.18218563763150097
RR,0,1942340,0.0,0.881363921572904,0.8488701640065833
RR,0,1942340,0.5,0.219168687789655,0.32565385608913106
RR,0,1942340,1.0,0.1805000526101982,0.2817553410764552
RR,1,1942341,0.0,0.425443012157005,0.6843434449882971
RR,1,1942341,0.5,0.1628738969822993,0.45392912550930514
RR,1,1942341,1.0,0.19360731100714434,0.4815224123231912
RR,2,1942342,0.0,0.3000908025906504,0.4436203589580441
RR,2,1942342,0.5,0.1308961954609553,0.33006306806030655
RR,2,1942342,1.0,0.06853735741007845,0.2841970214512784
