topology,alpha,n,mean_final_alignment,std_final_alignment,ci95_final_alignment
BA,0.3,50,0.3034502346603837,0.1789260336406884,0.04959576619351209
BA,0.5,50,0.2415354121875639,0.14784127268052719,0.040979510049046895
BA,0.7,50,0.13766753764569284,0.0869316677007714,0.024096228918579838
BA,0.9,50,0.10937515947418679,0.08552850298754835,0.023707291503313896
ER,0.3,50,0.3181009481227734,0.1831115292874197,0.05075592639644883
ER,0.5,50,0.2567010548929614,0.1579876224374071,0.04379193471425996
ER,0.7,50,0.1486031634135332,0.09232545137161854,0.02559130947446428
ER,0.9,50,0.1260744284269134,0.11191066773430709,0.031020054480480896
RR,0.3,50,0.32036681059917194,0.22076941969402766,0.06119416106775223
RR,0.5,50,0.2544367266030324,0.17027928356821176,0.04719900935381448
RR,0.7,50,0.15380459776527824,0.10946300717305939,0.03034159758716766
RR,0.9,50,0.12313894774533432,0.11023367886382557,0.03055521688118249
WS,0.3,50,0.3367703505435703,0.2126172844673053,0.0589345044685659
WS,0.5,50,0.26740794517210464,0.17520506459502394,0.04856436619516046
WS,0.7,50,0.16142146856917403,0.1100630810199984,0.0305079295714299
WS,0.9,50,0.14258257794102844,0.1784373454460414,0.04946030873687437
